[WARNING] | 14:50:22 19-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 14:52:31 19-Mar-22 | main.py:427 | Time to run: 129.18932795524597
[WARNING] | 16:07:55 21-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 16:09:15 21-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 16:09:24 21-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 16:13:36 21-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 16:42:23 21-Mar-22 | main.py:426 | Time to run: 1727.7013499736786
[WARNING] | 09:10:25 22-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 09:12:46 22-Mar-22 | main.py:426 | Time to run: 141.20044875144958
[WARNING] | 09:15:27 22-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 09:17:13 22-Mar-22 | main.py:425 | Time to run: 105.95426535606384
[WARNING] | 19:38:06 23-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 19:39:56 23-Mar-22 | main.py:426 | Time to run: 110.7573835849762
[WARNING] | 16:01:29 24-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 16:03:29 24-Mar-22 | main.py:426 | Time to run: 119.56921005249023
[WARNING] | 12:21:27 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 12:22:12 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 12:23:11 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 12:23:44 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 12:24:36 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 12:27:05 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 12:27:43 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 12:32:32 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 12:34:47 25-Mar-22 | main.py:426 | Time to run: 134.97232818603516
[WARNING] | 13:11:39 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:12:17 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:14:54 25-Mar-22 | main.py:427 | Time to run: 157.25011825561523
[WARNING] | 13:16:15 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:16:58 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:17:44 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:19:24 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:22:06 25-Mar-22 | main.py:426 | Time to run: 162.64147973060608
[WARNING] | 13:22:33 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:22:36 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:25:22 25-Mar-22 | main.py:426 | Time to run: 165.68906331062317
[WARNING] | 13:29:24 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:29:27 25-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:32:19 25-Mar-22 | main.py:426 | Time to run: 172.0192039012909
[WARNING] | 12:32:04 30-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 12:34:19 30-Mar-22 | main.py:428 | Time to run: 135.40493392944336
[WARNING] | 12:35:40 30-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 12:59:11 30-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:01:14 30-Mar-22 | main.py:428 | Time to run: 122.27490496635437
[WARNING] | 13:21:18 30-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 13:40:26 30-Mar-22 | main_repeat.py:49 | START PROGRAM
[WARNING] | 13:42:45 30-Mar-22 | main_repeat.py:432 | Time to run: 138.9966721534729
[WARNING] | 13:42:45 30-Mar-22 | main_repeat.py:49 | START PROGRAM
[WARNING] | 13:45:15 30-Mar-22 | main_repeat.py:432 | Time to run: 149.56163954734802
[WARNING] | 13:45:15 30-Mar-22 | main_repeat.py:49 | START PROGRAM
[WARNING] | 13:47:51 30-Mar-22 | main_repeat.py:432 | Time to run: 156.74270820617676
[WARNING] | 13:47:51 30-Mar-22 | main_repeat.py:49 | START PROGRAM
[WARNING] | 13:50:38 30-Mar-22 | main_repeat.py:432 | Time to run: 166.73514795303345
[WARNING] | 13:50:38 30-Mar-22 | main_repeat.py:49 | START PROGRAM
[WARNING] | 13:53:32 30-Mar-22 | main_repeat.py:432 | Time to run: 173.77386212348938
[WARNING] | 13:53:32 30-Mar-22 | main_repeat.py:49 | START PROGRAM
[WARNING] | 13:56:34 30-Mar-22 | main_repeat.py:432 | Time to run: 182.36212277412415
[WARNING] | 13:56:34 30-Mar-22 | main_repeat.py:49 | START PROGRAM
[WARNING] | 13:59:35 30-Mar-22 | main_repeat.py:432 | Time to run: 181.27566695213318
[WARNING] | 13:59:35 30-Mar-22 | main_repeat.py:49 | START PROGRAM
[WARNING] | 14:02:43 30-Mar-22 | main_repeat.py:432 | Time to run: 187.18052983283997
[WARNING] | 14:02:43 30-Mar-22 | main_repeat.py:49 | START PROGRAM
[WARNING] | 14:05:49 30-Mar-22 | main_repeat.py:432 | Time to run: 186.46621680259705
[WARNING] | 14:12:38 30-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 14:45:42 30-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 14:46:24 30-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 14:47:28 30-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 14:48:39 30-Mar-22 | main.py:47 | START PROGRAM
[WARNING] | 15:01:37 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:05:45 30-Mar-22 | main_repeat.py:433 | Time to run: 248.20331811904907
[WARNING] | 15:05:45 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:08:53 30-Mar-22 | main_repeat.py:433 | Time to run: 188.1237289905548
[WARNING] | 15:08:53 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:11:48 30-Mar-22 | main_repeat.py:433 | Time to run: 174.21130561828613
[WARNING] | 15:11:48 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:14:29 30-Mar-22 | main_repeat.py:433 | Time to run: 161.41895747184753
[WARNING] | 15:14:29 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:17:03 30-Mar-22 | main_repeat.py:433 | Time to run: 153.93280935287476
[WARNING] | 15:17:03 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:19:31 30-Mar-22 | main_repeat.py:433 | Time to run: 148.37353229522705
[WARNING] | 15:19:31 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:22:02 30-Mar-22 | main_repeat.py:433 | Time to run: 150.6413917541504
[WARNING] | 15:22:02 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:24:33 30-Mar-22 | main_repeat.py:433 | Time to run: 150.9872326850891
[WARNING] | 15:24:33 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:26:59 30-Mar-22 | main_repeat.py:433 | Time to run: 145.75229716300964
[WARNING] | 15:26:59 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:29:24 30-Mar-22 | main_repeat.py:433 | Time to run: 144.99243807792664
[WARNING] | 17:26:29 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:27:26 30-Mar-22 | main_repeat.py:433 | Time to run: 57.719674587249756
[WARNING] | 17:27:26 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:29:03 30-Mar-22 | main_repeat.py:433 | Time to run: 96.54571866989136
[WARNING] | 17:29:03 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:31:35 30-Mar-22 | main_repeat.py:433 | Time to run: 151.6927342414856
[WARNING] | 17:31:35 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:34:52 30-Mar-22 | main_repeat.py:433 | Time to run: 196.98443293571472
[WARNING] | 17:34:52 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:39:00 30-Mar-22 | main_repeat.py:433 | Time to run: 248.58647894859314
[WARNING] | 17:39:00 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:44:08 30-Mar-22 | main_repeat.py:433 | Time to run: 307.4330253601074
[WARNING] | 17:44:08 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:49:56 30-Mar-22 | main_repeat.py:433 | Time to run: 348.9020302295685
[WARNING] | 17:49:56 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:56:37 30-Mar-22 | main_repeat.py:433 | Time to run: 400.9318070411682
[WARNING] | 17:56:37 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 18:04:02 30-Mar-22 | main_repeat.py:433 | Time to run: 444.4452350139618
[WARNING] | 18:04:02 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 18:12:28 30-Mar-22 | main_repeat.py:433 | Time to run: 506.2245409488678
[WARNING] | 18:12:28 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 18:21:42 30-Mar-22 | main_repeat.py:433 | Time to run: 554.221284866333
[WARNING] | 18:21:42 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 18:31:57 30-Mar-22 | main_repeat.py:433 | Time to run: 614.3774886131287
[WARNING] | 18:31:57 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 18:43:02 30-Mar-22 | main_repeat.py:433 | Time to run: 665.0155417919159



