[WARNING] | 19:27:34 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:27:55 30-Mar-22 | main_repeat2.py:420 | Time to run: 20.723050832748413
[WARNING] | 19:27:55 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:28:15 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.991017818450928
[WARNING] | 19:28:15 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:28:35 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.642733573913574
[WARNING] | 19:28:35 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:28:55 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.848042964935303
[WARNING] | 19:28:55 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:29:14 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.486783266067505
[WARNING] | 19:29:14 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:29:34 30-Mar-22 | main_repeat2.py:420 | Time to run: 20.040650367736816
[WARNING] | 19:29:34 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:29:54 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.65900468826294
[WARNING] | 19:29:54 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:30:14 30-Mar-22 | main_repeat2.py:420 | Time to run: 20.55755925178528
[WARNING] | 19:30:14 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:30:34 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.928346395492554
[WARNING] | 19:30:34 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:30:54 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.69435715675354
[WARNING] | 19:30:54 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:31:14 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.621941328048706
[WARNING] | 19:31:14 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:31:33 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.613552570343018
[WARNING] | 19:31:33 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:31:53 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.499808311462402
[WARNING] | 19:31:53 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:32:12 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.407151222229004
[WARNING] | 19:32:12 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:32:31 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.11497950553894
[WARNING] | 19:32:31 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:32:50 30-Mar-22 | main_repeat2.py:420 | Time to run: 19.19904088973999
[WARNING] | 19:32:50 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:33:09 30-Mar-22 | main_repeat2.py:420 | Time to run: 18.795117378234863
[WARNING] | 19:33:09 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:33:28 30-Mar-22 | main_repeat2.py:420 | Time to run: 18.388299226760864
[WARNING] | 19:33:28 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:33:46 30-Mar-22 | main_repeat2.py:420 | Time to run: 18.421552181243896
[WARNING] | 19:33:46 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:34:05 30-Mar-22 | main_repeat2.py:420 | Time to run: 18.85021138191223
[WARNING] | 19:34:05 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:34:24 30-Mar-22 | main_repeat2.py:420 | Time to run: 18.732766151428223
[WARNING] | 19:34:24 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:34:42 30-Mar-22 | main_repeat2.py:420 | Time to run: 18.24069333076477
[WARNING] | 19:34:42 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:34:59 30-Mar-22 | main_repeat2.py:420 | Time to run: 17.351075410842896
[WARNING] | 19:34:59 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:35:30 30-Mar-22 | main_repeat2.py:420 | Time to run: 31.158940076828003
[WARNING] | 19:35:30 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:35:52 30-Mar-22 | main_repeat2.py:420 | Time to run: 21.688321590423584
[WARNING] | 19:35:52 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:36:12 30-Mar-22 | main_repeat2.py:420 | Time to run: 20.27324628829956
[WARNING] | 19:36:12 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:36:39 30-Mar-22 | main_repeat2.py:420 | Time to run: 26.657925844192505
[WARNING] | 19:36:39 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:37:06 30-Mar-22 | main_repeat2.py:420 | Time to run: 27.550342321395874
[WARNING] | 19:37:06 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:37:33 30-Mar-22 | main_repeat2.py:420 | Time to run: 26.165837049484253
[WARNING] | 19:37:33 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:37:58 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.314510345458984
[WARNING] | 19:37:58 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:38:23 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.390798807144165
[WARNING] | 19:38:23 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:38:49 30-Mar-22 | main_repeat2.py:420 | Time to run: 26.045612573623657
[WARNING] | 19:38:49 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:39:15 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.915555715560913
[WARNING] | 19:39:15 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:39:42 30-Mar-22 | main_repeat2.py:420 | Time to run: 26.379154682159424
[WARNING] | 19:39:42 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:40:08 30-Mar-22 | main_repeat2.py:420 | Time to run: 26.2879900932312
[WARNING] | 19:40:08 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:40:34 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.551915407180786
[WARNING] | 19:40:34 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
